,movie,year,imdb,metascore,votes
2086,Nocturnal Animals,2016,7.5,67,218065
2087,Star Trek Beyond,2016,7.1,68,216994
2088,Sully,2016,7.4,74,216666
2089,The Conjuring 2,2016,7.3,65,208346
2090,Don't Breathe,2016,7.1,71,200261
2091,Jason Bourne,2016,6.6,58,197255
2092,Ghostbusters,2016,5.2,60,194695
2093,Lion,2016,8.0,69,192735
2094,Me Before You,2016,7.4,51,187890
2095,Hell or High Water,2016,7.6,88,186753
2096,Hidden Figures,2016,7.8,74,181602
2097,The Magnificent Seven,2016,6.9,54,174944
2098,Assassin's Creed,2016,5.7,36,174197
2099,The Secret Life of Pets,2016,6.5,61,172995
2100,Captain Fantastic,2016,7.9,72,170045
2101,The Promise,2016,5.9,49,165720
2102,Sausage Party,2016,6.1,66,165673
2103,War Dogs,2016,7.1,57,163445
2104,Independence Day: Resurgence,2016,5.2,32,159739
2105,The Girl on the Train,2016,6.5,48,158681
2106,Your Name.,2016,8.4,79,156374
2107,The Legend of Tarzan,2016,6.2,44,155780
2108,Central Intelligence,2016,6.3,52,147459
2109,Deadpool,2016,8.0,65,856870
2110,Captain America: Civil War,2016,7.8,75,619323
2111,Batman v Superman: Dawn of Justice,2016,6.5,44,596124
2112,Suicide Squad,2016,6.0,40,561499
2113,Doctor Strange,2016,7.5,72,552625
2114,Arrival,2016,7.9,81,547499
2115,Rogue One: A Star Wars Story,2016,7.8,65,517715
2116,La La Land,2016,8.0,93,463136
2117,Zootopia,2016,8.0,78,403276
2118,Hacksaw Ridge,2016,8.1,71,393031
2119,Split,2016,7.3,62,389714
2120,Fantastic Beasts and Where to Find Them,2016,7.3,66,383963
2121,X-Men: Apocalypse,2016,6.9,52,373354
2122,Passengers,2016,7.0,41,325683
2123,10 Cloverfield Lane,2016,7.2,76,272840
2124,The Nice Guys,2016,7.4,70,254497
2125,The Jungle Book,2016,7.4,77,248497
2126,Moonlight,2016,7.4,99,245464
2127,The Accountant,2016,7.3,51,243905
2128,Moana,2016,7.6,81,242600
2129,Warcraft,2016,6.8,32,232799
2130,Now You See Me 2,2016,6.5,46,228753
2131,Manchester by the Sea,2016,7.8,96,226544
2132,Finding Dory,2016,7.3,77,224060
2133,Nocturnal Animals,2016,7.5,67,218065
2134,Star Trek Beyond,2016,7.1,68,216994
2135,Sully,2016,7.4,74,216666
2136,The Conjuring 2,2016,7.3,65,208346
2137,Don't Breathe,2016,7.1,71,200261
2138,Jason Bourne,2016,6.6,58,197255
2139,Ghostbusters,2016,5.2,60,194695
2140,Lion,2016,8.0,69,192735
2141,Me Before You,2016,7.4,51,187890
2142,Hell or High Water,2016,7.6,88,186753
2143,Hidden Figures,2016,7.8,74,181602
2144,The Magnificent Seven,2016,6.9,54,174944
2145,Assassin's Creed,2016,5.7,36,174197
2146,The Secret Life of Pets,2016,6.5,61,172995
2147,Captain Fantastic,2016,7.9,72,170045
2148,The Promise,2016,5.9,49,165720
2149,Sausage Party,2016,6.1,66,165673
2150,War Dogs,2016,7.1,57,163445
2151,Independence Day: Resurgence,2016,5.2,32,159739
2152,The Girl on the Train,2016,6.5,48,158681
2153,Your Name.,2016,8.4,79,156374
2154,The Legend of Tarzan,2016,6.2,44,155780
2155,Central Intelligence,2016,6.3,52,147459
2156,Logan,2017,8.1,77,598240
2157,Thor: Ragnarok,2017,7.9,74,531616
2158,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,523161
2159,Guardians of the Galaxy Vol. 2,2017,7.6,67,522645
2160,Wonder Woman,2017,7.4,76,515566
2161,Dunkirk,2017,7.9,94,499296
2162,Spider-Man: Homecoming,2017,7.4,73,470253
2163,Get Out,2017,7.7,84,442011
2164,It,2017,7.3,69,419677
2165,Blade Runner 2049,2017,8.0,81,411820
2166,Baby Driver,2017,7.6,86,396011
2167,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,380168
2168,Justice League,2017,6.4,45,353008
2169,The Shape of Water,2017,7.3,87,336590
2170,John Wick: Chapter 2,2017,7.5,75,330659
2171,Coco,2017,8.4,81,318767
2172,Jumanji: Welcome to the Jungle,2017,6.9,58,284041
2173,Beauty and the Beast,2017,7.1,65,253118
2174,Kong: Skull Island,2017,6.6,62,252142
2175,Kingsman: The Golden Circle,2017,6.7,44,248828
2176,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,242197
2177,Alien: Covenant,2017,6.4,65,238474
2178,The Greatest Showman,2017,7.6,48,213714
2179,War for the Planet of the Apes,2017,7.4,82,212826
2180,Lady Bird,2017,7.4,94,200384
2181,Life,2017,6.6,54,192123
2182,Murder on the Orient Express,2017,6.5,52,191630
2183,The Fate of the Furious,2017,6.7,56,191278
2184,Ghost in the Shell,2017,6.3,52,185663
2185,Wind River,2017,7.7,73,183467
2186,King Arthur: Legend of the Sword,2017,6.7,41,178375
2187,Call Me by Your Name,2017,7.9,93,175683
2188,Mother!,2017,6.6,75,172783
2189,The Hitman's Bodyguard,2017,6.9,47,172773
2190,The Mummy,2017,5.4,34,163340
2191,Atomic Blonde,2017,6.7,63,162128
2192,"I, Tonya",2017,7.5,77,158418
2193,Bright,2017,6.3,29,157005
2194,Darkest Hour,2017,7.4,75,151646
2195,Valerian and the City of a Thousand Planets,2017,6.5,51,150653
2196,Baywatch,2017,5.5,37,148657
2197,American Made,2017,7.1,65,144593
2198,Transformers: The Last Knight,2017,5.2,27,126719
2199,Logan,2017,8.1,77,598240
2200,Thor: Ragnarok,2017,7.9,74,531616
2201,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,523161
2202,Guardians of the Galaxy Vol. 2,2017,7.6,67,522645
2203,Wonder Woman,2017,7.4,76,515566
2204,Dunkirk,2017,7.9,94,499296
2205,Spider-Man: Homecoming,2017,7.4,73,470253
2206,Get Out,2017,7.7,84,442011
2207,It,2017,7.3,69,419677
2208,Blade Runner 2049,2017,8.0,81,411820
2209,Baby Driver,2017,7.6,86,396011
2210,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,380168
2211,Justice League,2017,6.4,45,353008
2212,The Shape of Water,2017,7.3,87,336590
2213,John Wick: Chapter 2,2017,7.5,75,330659
2214,Coco,2017,8.4,81,318767
2215,Jumanji: Welcome to the Jungle,2017,6.9,58,284041
2216,Beauty and the Beast,2017,7.1,65,253118
2217,Kong: Skull Island,2017,6.6,62,252142
2218,Kingsman: The Golden Circle,2017,6.7,44,248828
2219,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,242197
2220,Alien: Covenant,2017,6.4,65,238474
2221,The Greatest Showman,2017,7.6,48,213714
2222,War for the Planet of the Apes,2017,7.4,82,212826
2223,Lady Bird,2017,7.4,94,200384
2224,Life,2017,6.6,54,192123
2225,Murder on the Orient Express,2017,6.5,52,191630
2226,The Fate of the Furious,2017,6.7,56,191278
2227,Ghost in the Shell,2017,6.3,52,185663
2228,Wind River,2017,7.7,73,183467
2229,King Arthur: Legend of the Sword,2017,6.7,41,178375
2230,Call Me by Your Name,2017,7.9,93,175683
2231,Mother!,2017,6.6,75,172783
2232,The Hitman's Bodyguard,2017,6.9,47,172773
2233,The Mummy,2017,5.4,34,163340
2234,Atomic Blonde,2017,6.7,63,162128
2235,"I, Tonya",2017,7.5,77,158418
2236,Bright,2017,6.3,29,157005
2237,Darkest Hour,2017,7.4,75,151646
2238,Valerian and the City of a Thousand Planets,2017,6.5,51,150653
2239,Baywatch,2017,5.5,37,148657
2240,American Made,2017,7.1,65,144593
2241,Transformers: The Last Knight,2017,5.2,27,126719
2242,Logan,2017,8.1,77,598240
2243,Thor: Ragnarok,2017,7.9,74,531616
2244,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,523161
2245,Guardians of the Galaxy Vol. 2,2017,7.6,67,522645
2246,Wonder Woman,2017,7.4,76,515566
2247,Dunkirk,2017,7.9,94,499296
2248,Spider-Man: Homecoming,2017,7.4,73,470253
2249,Get Out,2017,7.7,84,442011
2250,It,2017,7.3,69,419677
2251,Blade Runner 2049,2017,8.0,81,411820
2252,Baby Driver,2017,7.6,86,396011
2253,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,380168
2254,Justice League,2017,6.4,45,353008
2255,The Shape of Water,2017,7.3,87,336590
2256,John Wick: Chapter 2,2017,7.5,75,330659
2257,Coco,2017,8.4,81,318767
2258,Jumanji: Welcome to the Jungle,2017,6.9,58,284041
2259,Beauty and the Beast,2017,7.1,65,253118
2260,Kong: Skull Island,2017,6.6,62,252142
2261,Kingsman: The Golden Circle,2017,6.7,44,248828
2262,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,242197
2263,Alien: Covenant,2017,6.4,65,238474
2264,The Greatest Showman,2017,7.6,48,213714
2265,War for the Planet of the Apes,2017,7.4,82,212826
2266,Lady Bird,2017,7.4,94,200384
2267,Life,2017,6.6,54,192123
2268,Murder on the Orient Express,2017,6.5,52,191630
2269,The Fate of the Furious,2017,6.7,56,191278
2270,Ghost in the Shell,2017,6.3,52,185663
2271,Wind River,2017,7.7,73,183467
2272,King Arthur: Legend of the Sword,2017,6.7,41,178375
2273,Call Me by Your Name,2017,7.9,93,175683
2274,Mother!,2017,6.6,75,172783
2275,The Hitman's Bodyguard,2017,6.9,47,172773
2276,The Mummy,2017,5.4,34,163340
2277,Atomic Blonde,2017,6.7,63,162128
2278,"I, Tonya",2017,7.5,77,158418
2279,Bright,2017,6.3,29,157005
2280,Darkest Hour,2017,7.4,75,151646
2281,Valerian and the City of a Thousand Planets,2017,6.5,51,150653
2282,Baywatch,2017,5.5,37,148657
2283,American Made,2017,7.1,65,144593
2284,Transformers: The Last Knight,2017,5.2,27,126719
2285,Logan,2017,8.1,77,598240
2286,Thor: Ragnarok,2017,7.9,74,531616
2287,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,523161
2288,Guardians of the Galaxy Vol. 2,2017,7.6,67,522645
2289,Wonder Woman,2017,7.4,76,515566
2290,Dunkirk,2017,7.9,94,499296
2291,Spider-Man: Homecoming,2017,7.4,73,470253
2292,Get Out,2017,7.7,84,442011
2293,It,2017,7.3,69,419677
2294,Blade Runner 2049,2017,8.0,81,411820
2295,Baby Driver,2017,7.6,86,396011
2296,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,380168
2297,Justice League,2017,6.4,45,353008
2298,The Shape of Water,2017,7.3,87,336590
2299,John Wick: Chapter 2,2017,7.5,75,330659
2300,Coco,2017,8.4,81,318767
2301,Jumanji: Welcome to the Jungle,2017,6.9,58,284041
2302,Beauty and the Beast,2017,7.1,65,253118
2303,Kong: Skull Island,2017,6.6,62,252142
2304,Kingsman: The Golden Circle,2017,6.7,44,248828
2305,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,242197
2306,Alien: Covenant,2017,6.4,65,238474
2307,The Greatest Showman,2017,7.6,48,213714
2308,War for the Planet of the Apes,2017,7.4,82,212826
2309,Lady Bird,2017,7.4,94,200384
2310,Life,2017,6.6,54,192123
2311,Murder on the Orient Express,2017,6.5,52,191630
2312,The Fate of the Furious,2017,6.7,56,191278
2313,Ghost in the Shell,2017,6.3,52,185663
2314,Wind River,2017,7.7,73,183467
2315,King Arthur: Legend of the Sword,2017,6.7,41,178375
2316,Call Me by Your Name,2017,7.9,93,175683
2317,Mother!,2017,6.6,75,172783
2318,The Hitman's Bodyguard,2017,6.9,47,172773
2319,The Mummy,2017,5.4,34,163340
2320,Atomic Blonde,2017,6.7,63,162128
2321,"I, Tonya",2017,7.5,77,158418
2322,Bright,2017,6.3,29,157005
2323,Darkest Hour,2017,7.4,75,151646
2324,Valerian and the City of a Thousand Planets,2017,6.5,51,150653
2325,Baywatch,2017,5.5,37,148657
2326,American Made,2017,7.1,65,144593
2327,Transformers: The Last Knight,2017,5.2,27,126719
2328,Avengers: Infinity War,2018,8.5,68,744670
2329,Black Panther,2018,7.3,88,562865
2330,Deadpool 2,2018,7.7,66,435283
2331,Bohemian Rhapsody,2018,8.0,49,406023
2332,A Quiet Place,2018,7.5,82,350657
2333,Ready Player One,2018,7.5,64,328988
2334,Aquaman,2018,7.0,55,323551
2335,Venom,2018,6.7,35,320796
2336,A Star Is Born,2018,7.7,88,295143
2337,Spider-Man: Into the Spider-Verse,2018,8.4,87,293584
2338,Green Book,2018,8.2,69,286325
2339,Ant-Man and the Wasp,2018,7.1,70,275633
2340,Mission: Impossible - Fallout,2018,7.8,86,261081
2341,Solo: A Star Wars Story,2018,6.9,62,259631
2342,Annihilation,2018,6.9,79,251926
2343,Bird Box,2018,6.6,51,245684
2344,Jurassic World: Fallen Kingdom,2018,6.2,51,239334
2345,Incredibles 2,2018,7.7,80,224790
2346,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,193362
2347,Hereditary,2018,7.3,87,192249
2348,Game Night,2018,6.9,66,181303
2349,BlacKkKlansman,2018,7.5,83,177692
2350,Tomb Raider,2018,6.3,48,176708
2351,Ocean's Eight,2018,6.2,61,160278
2352,Red Sparrow,2018,6.6,53,149921
2353,The Favourite,2018,7.6,90,145608
2354,First Man,2018,7.3,84,145030
2355,The Meg,2018,5.7,46,129779
2356,Rampage,2018,6.1,45,127301
2357,Upgrade,2018,7.5,67,125767
2358,Roma,2018,7.7,96,122427
2359,Isle of Dogs,2018,7.9,82,121637
2360,Searching,2018,7.6,71,118163
2361,Crazy Rich Asians,2018,6.9,74,118019
2362,Bumblebee,2018,6.8,66,117984
2363,The Equalizer 2,2018,6.7,50,113003
2364,Ralph Breaks the Internet,2018,7.1,71,111622
2365,Bad Times at the El Royale,2018,7.1,60,111468
2366,Sicario: Day of the Soldado,2018,7.1,61,109137
2367,The Predator,2018,5.4,48,106455
2368,A Simple Favor,2018,6.8,67,105930
2369,Halloween,2018,6.6,67,105436
2370,The Nun,2018,5.3,46,104334
2371,The Ballad of Buster Scruggs,2018,7.3,79,102835
2372,Vice,2018,7.2,61,99901
2373,Maze Runner: The Death Cure,2018,6.2,50,99797
2374,Avengers: Infinity War,2018,8.5,68,744670
2375,Black Panther,2018,7.3,88,562865
2376,Deadpool 2,2018,7.7,66,435283
2377,Bohemian Rhapsody,2018,8.0,49,406023
2378,A Quiet Place,2018,7.5,82,350657
2379,Ready Player One,2018,7.5,64,328988
2380,Aquaman,2018,7.0,55,323551
2381,Venom,2018,6.7,35,320796
2382,A Star Is Born,2018,7.7,88,295143
2383,Spider-Man: Into the Spider-Verse,2018,8.4,87,293584
2384,Green Book,2018,8.2,69,286325
2385,Ant-Man and the Wasp,2018,7.1,70,275633
2386,Mission: Impossible - Fallout,2018,7.8,86,261081
2387,Solo: A Star Wars Story,2018,6.9,62,259631
2388,Annihilation,2018,6.9,79,251926
2389,Bird Box,2018,6.6,51,245684
2390,Jurassic World: Fallen Kingdom,2018,6.2,51,239334
2391,Incredibles 2,2018,7.7,80,224790
2392,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,193362
2393,Hereditary,2018,7.3,87,192249
2394,Game Night,2018,6.9,66,181303
2395,BlacKkKlansman,2018,7.5,83,177692
2396,Tomb Raider,2018,6.3,48,176708
2397,Ocean's Eight,2018,6.2,61,160278
2398,Red Sparrow,2018,6.6,53,149921
2399,The Favourite,2018,7.6,90,145608
2400,First Man,2018,7.3,84,145030
2401,The Meg,2018,5.7,46,129779
2402,Rampage,2018,6.1,45,127301
2403,Upgrade,2018,7.5,67,125767
2404,Roma,2018,7.7,96,122427
2405,Isle of Dogs,2018,7.9,82,121637
2406,Searching,2018,7.6,71,118163
2407,Crazy Rich Asians,2018,6.9,74,118019
2408,Bumblebee,2018,6.8,66,117984
2409,The Equalizer 2,2018,6.7,50,113003
2410,Ralph Breaks the Internet,2018,7.1,71,111622
2411,Bad Times at the El Royale,2018,7.1,60,111468
2412,Sicario: Day of the Soldado,2018,7.1,61,109137
2413,The Predator,2018,5.4,48,106455
2414,A Simple Favor,2018,6.8,67,105930
2415,Halloween,2018,6.6,67,105436
2416,The Nun,2018,5.3,46,104334
2417,The Ballad of Buster Scruggs,2018,7.3,79,102835
2418,Vice,2018,7.2,61,99901
2419,Maze Runner: The Death Cure,2018,6.2,50,99797
2420,Avengers: Infinity War,2018,8.5,68,744670
2421,Black Panther,2018,7.3,88,562865
2422,Deadpool 2,2018,7.7,66,435283
2423,Bohemian Rhapsody,2018,8.0,49,406023
2424,A Quiet Place,2018,7.5,82,350657
2425,Ready Player One,2018,7.5,64,328988
2426,Aquaman,2018,7.0,55,323551
2427,Venom,2018,6.7,35,320796
2428,A Star Is Born,2018,7.7,88,295143
2429,Spider-Man: Into the Spider-Verse,2018,8.4,87,293584
2430,Green Book,2018,8.2,69,286325
2431,Ant-Man and the Wasp,2018,7.1,70,275633
2432,Mission: Impossible - Fallout,2018,7.8,86,261081
2433,Solo: A Star Wars Story,2018,6.9,62,259631
2434,Annihilation,2018,6.9,79,251926
2435,Bird Box,2018,6.6,51,245684
2436,Jurassic World: Fallen Kingdom,2018,6.2,51,239334
2437,Incredibles 2,2018,7.7,80,224790
2438,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,193362
2439,Hereditary,2018,7.3,87,192249
2440,Game Night,2018,6.9,66,181303
2441,BlacKkKlansman,2018,7.5,83,177692
2442,Tomb Raider,2018,6.3,48,176708
2443,Ocean's Eight,2018,6.2,61,160278
2444,Red Sparrow,2018,6.6,53,149921
2445,The Favourite,2018,7.6,90,145608
2446,First Man,2018,7.3,84,145030
2447,The Meg,2018,5.7,46,129779
2448,Rampage,2018,6.1,45,127301
2449,Upgrade,2018,7.5,67,125767
2450,Roma,2018,7.7,96,122427
2451,Isle of Dogs,2018,7.9,82,121637
2452,Searching,2018,7.6,71,118163
2453,Crazy Rich Asians,2018,6.9,74,118019
2454,Bumblebee,2018,6.8,66,117984
2455,The Equalizer 2,2018,6.7,50,113003
2456,Ralph Breaks the Internet,2018,7.1,71,111622
2457,Bad Times at the El Royale,2018,7.1,60,111468
2458,Sicario: Day of the Soldado,2018,7.1,61,109137
2459,The Predator,2018,5.4,48,106455
2460,A Simple Favor,2018,6.8,67,105930
2461,Halloween,2018,6.6,67,105436
2462,The Nun,2018,5.3,46,104334
2463,The Ballad of Buster Scruggs,2018,7.3,79,102835
2464,Vice,2018,7.2,61,99901
2465,Maze Runner: The Death Cure,2018,6.2,50,99797
2466,Avengers: Infinity War,2018,8.5,68,744670
2467,Black Panther,2018,7.3,88,562865
2468,Deadpool 2,2018,7.7,66,435283
2469,Bohemian Rhapsody,2018,8.0,49,406023
2470,A Quiet Place,2018,7.5,82,350657
2471,Ready Player One,2018,7.5,64,328988
2472,Aquaman,2018,7.0,55,323551
2473,Venom,2018,6.7,35,320796
2474,A Star Is Born,2018,7.7,88,295143
2475,Spider-Man: Into the Spider-Verse,2018,8.4,87,293584
2476,Green Book,2018,8.2,69,286325
2477,Ant-Man and the Wasp,2018,7.1,70,275633
2478,Mission: Impossible - Fallout,2018,7.8,86,261081
2479,Solo: A Star Wars Story,2018,6.9,62,259631
2480,Annihilation,2018,6.9,79,251926
2481,Bird Box,2018,6.6,51,245684
2482,Jurassic World: Fallen Kingdom,2018,6.2,51,239334
2483,Incredibles 2,2018,7.7,80,224790
2484,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,193362
2485,Hereditary,2018,7.3,87,192249
2486,Game Night,2018,6.9,66,181303
2487,BlacKkKlansman,2018,7.5,83,177692
2488,Tomb Raider,2018,6.3,48,176708
2489,Ocean's Eight,2018,6.2,61,160278
2490,Red Sparrow,2018,6.6,53,149921
2491,The Favourite,2018,7.6,90,145608
2492,First Man,2018,7.3,84,145030
2493,The Meg,2018,5.7,46,129779
2494,Rampage,2018,6.1,45,127301
2495,Upgrade,2018,7.5,67,125767
2496,Roma,2018,7.7,96,122427
2497,Isle of Dogs,2018,7.9,82,121637
2498,Searching,2018,7.6,71,118163
2499,Crazy Rich Asians,2018,6.9,74,118019
2500,Bumblebee,2018,6.8,66,117984
2501,The Equalizer 2,2018,6.7,50,113003
2502,Ralph Breaks the Internet,2018,7.1,71,111622
2503,Bad Times at the El Royale,2018,7.1,60,111468
2504,Sicario: Day of the Soldado,2018,7.1,61,109137
2505,The Predator,2018,5.4,48,106455
2506,A Simple Favor,2018,6.8,67,105930
2507,Halloween,2018,6.6,67,105436
2508,The Nun,2018,5.3,46,104334
2509,The Ballad of Buster Scruggs,2018,7.3,79,102835
2510,Vice,2018,7.2,61,99901
2511,Maze Runner: The Death Cure,2018,6.2,50,99797
